code,address,city,state,zip,square_footage,year_opened,county_fips,county_name,description
PCA1,1565 N MacArthur Drive,Tracy,California,95376,NA,2017,6077,San Joaquin,Amazon uses a portion of this space as a seasonal facility
SJC7,188 S Mountain House Parkway,Tracy,California,95377-8906,1001400,2016,6077,San Joaquin,Large Non-Sortable. Ships larger products such as barbecues and appliances.
,1012 Fransil Lane,Turlock,California,95380,1080300,2022,6099,Stanislaus,Large Non-Sortable FC. Project Hornet.
,1012 Fransil Lane,Turlock,California,95380,1080300,2022,6099,Stanislaus,Large Non-Sortable FC. Project Hornet.
SMF1,4900 W Elkhorn Blvd,Sacramento,California,95835-9505,855000,2017,6067,Sacramento,Small Sortable
SMF6,4930 Allbaugh Drive,Sacramento,California,95837-9109,1000000,2021,6067,Sacramento,Large Non-Sortable
PDX9,1250 NW Swigert Way,Troutdale,Oregon,97060,855000,2018,41051,Multnomah,Small Sortable
,Butteville Road,Woodburn,Oregon,97071,630000,2023,41047,Marion,Small Sortable 5-story Building Project Basie.
PDX6/DPD5/HPD1,15000 N Lombard Street,Portland,Oregon,97203-6814,918400,2018,41051,Multnomah,PDX6 is a Large Non-Sortable DPD5 is a Delivery Station HPD1 is a Heavy Bulky Delivery Station
PDX7,4775 Depot Court SE,Salem,Oregon,97317-8983,1000000,2019,41047,Marion,Large Non-Sortable Phase 1 Phase 2 will add 570.000 sq ft.
,18712 Bothell Everett Highway,Bothell,Washington,98012,105000,2022,53061,Snohomish,Mini Fulfillment Center / Delivery Station for Horth Seattle for Same Day Service within a 45 minute drive time
BFI4,21005 64th Ave S,Kent,Washington,98032-2423,860000,2016,53033,King,"Small Sortable (books, electronics and consumer goods)"
SWA2,1905 Raymond Ave SW,Renton,Washington,98057,129100,2022,53033,King,Mini Fulfillment Center / Amazon Fresh / Delivery Station for South Seattle for Same Day Service within a 45 minute drive time.
BFI8/HWA2,20529 24th Ave S,Seatac,Washington,98198-5518,457200,2020,53033,King,Hon-Sortable HWA2 is a Delivery Station for Heavy/Bulky Merch.
SWA1/VWA1/HBF3,607 Riverside Rd,Everett,Washington,98201-1206,204500,2019,53061,Snohomish,SWA1 is a Mini Fulfillment Center/ Amazon Fresh / Delivery Station for Horth Seattle for Same Day Service within a 45 minute drive time. HBF3 is a Heavy/Bulky Delivery Station for Seattle.
,4620 172nd Street NE,Arlington,Washington,98223,600000,2022,53061,Snohomish,Small Sortable Project Roxy.
BFI3,2700 Center Drive,DuPont,Washington,98327-9607,1000000,2015,53053,Pierce,Large Hon-Sortable (Ships larger items such as canoes and televisions. Facility cost §100 Million
BFI1,1800 140th Avenue E,Sumner,Washington,98390-9624,492000,2011,53053,Pierce,BFI1 is Small Sortable
PWA1,2309 Milwaukee Way,Tacoma,Washington,98421,NA,2017,53053,Pierce,Amazon uses a portion of this space as a seasonal facility
GEG2,18007 E Garland Ave,Spokane,Washington,99216,1300000,2021,53063,Spokane,Large Hon-Sortable. Project Fireball
GEG1,10010 West Geiger Blvd West Plains,Spokane,Washington,99224,639000,2020,53063,Spokane,Small Sortable. Project Rose
,1351 S Road 40 East,Pasco,Washington,99301,1080500,2022,53021,Franklin,Hon-Sortable Fulfillment Center for Pasco WA. Project Oyster
,1202 South Road 40 East,Pasco,Washington,99301,1049800,2022,53021,Franklin,Hon-Sortable Fulfillment Center for Pasco WA Project Pearl
